project-name,classifier,model-name,TP,FP,FN,TN,accuracy,precision,recall,f-measure,auc-roc,mcc
,Bayesian Network,productModel,0.0,102.0,43.0,20574.0,0.9930015927409624,0.0,0.0,NaN,0.8759931748752626,-0.0032076599113972284,
,Bayesian Network,productProcessModel,43.0,6.0,0.0,20670.0,0.9997104107341088,0.8775510204081632,1.0,0.9347826086956522,1.0,0.936640999816926,
,Bayesian Network,productProcessTextualModel,43.0,6.0,0.0,20670.0,0.9997104107341088,0.8775510204081632,1.0,0.9347826086956522,1.0,0.936640999816926,
,Bayesian Network,productProcessTextualSmellModel,43.0,6.0,0.0,20670.0,0.9997104107341088,0.8775510204081632,1.0,0.9347826086956522,1.0,0.936640999816926,
,Bayesian Network,allModel,43.0,4.0,0.0,20672.0,0.9998069404894059,0.9148936170212766,1.0,0.9555555555555556,1.0,0.9564081873191631,
,RandomForest,productModel,3.0,0.0,40.0,20676.0,0.9980694048940586,1.0,0.06976744186046512,0.13043478260869565,0.7820701003747745,0.26388014262739345,
,RandomForest,productProcessModel,43.0,0.0,0.0,20676.0,1.0,1.0,1.0,1.0,1.0,1.0,
,RandomForest,productProcessTextualModel,43.0,0.0,0.0,20676.0,1.0,1.0,1.0,1.0,1.0,1.0,
,RandomForest,productProcessTextualSmellModel,43.0,0.0,0.0,20676.0,1.0,1.0,1.0,1.0,1.0,1.0,
,RandomForest,allModel,43.0,0.0,0.0,20676.0,1.0,1.0,1.0,1.0,1.0,1.0,
,Support Vector Machine,productModel,0.0,0.0,43.0,20676.0,0.997924610261113,0.0,0.0,NaN,0.5,0.0,
,Support Vector Machine,productProcessModel,4.0,3.0,39.0,20673.0,0.9979728751387615,0.5714285714285714,0.09302325581395349,0.16,0.9998177867159768,0.2299964083641072,
,Support Vector Machine,productProcessTextualModel,4.0,4.0,39.0,20672.0,0.997924610261113,0.5,0.09302325581395349,0.15686274509803924,0.9997936040887762,0.21503509847060198,
,Support Vector Machine,productProcessTextualSmellModel,5.0,4.0,38.0,20672.0,0.9979728751387615,0.5555555555555556,0.11627906976744186,0.19230769230769232,0.9997964160221715,0.25353304270656385,
,Support Vector Machine,allModel,17.0,4.0,26.0,20672.0,0.9985520536705439,0.8095238095238095,0.3953488372093023,0.53125,0.9998301592229166,0.5651471552658216,
,J48,productModel,0.0,0.0,43.0,20676.0,0.997924610261113,0.0,0.0,NaN,0.528952791012611,0.0,
,J48,productProcessModel,43.0,1.0,0.0,20675.0,0.9999517351223515,0.9772727272727273,1.0,0.9885057471264368,0.9999758173727994,0.9885471466898549,
,J48,productProcessTextualModel,43.0,1.0,0.0,20675.0,0.9999517351223515,0.9772727272727273,1.0,0.9885057471264368,0.9999758173727994,0.9885471466898549,
,J48,productProcessTextualSmellModel,43.0,1.0,0.0,20675.0,0.9999517351223515,0.9772727272727273,1.0,0.9885057471264368,0.9999758173727994,0.9885471466898549,
,J48,allModel,43.0,1.0,0.0,20675.0,0.9999517351223515,0.9772727272727273,1.0,0.9885057471264368,0.9999758173727994,0.9885471466898549,
